1638201938.98314,1638201938.9829464
1638201940.1136954,1638201940.1136198
1638201941.115666,1638201941.1155932
1638201942.1176848,1638201942.1175966
1638201943.1196933,1638201943.1195793
1638201944.1218455,1638201944.1217363
1638201945.1237695,1638201945.1236537
1638201946.125842,1638201946.125764
1638201947.1277022,1638201947.1276195
1638201948.128831,1638201948.1286957
1638201949.1318328,1638201949.1317496
1638201950.133904,1638201950.1338198
1638201951.135656,1638201951.1355329
1638201952.138893,1638201952.1388226
1638201953.1416826,1638201953.1416152
1638201954.144167,1638201954.1440952
1638201955.1460156,1638201955.1459322
1638201956.1476696,1638201956.1476023
1638201957.1496978,1638201957.1496313
1638201958.1518793,1638201958.1518097
1638201959.154027,1638201959.153963
1638201960.155734,1638201960.1556556
1638201961.1579556,1638201961.1578624
1638201962.1607728,1638201962.1606548
1638201963.1630704,1638201963.1629941
1638201964.1646996,1638201964.1646378
1638201965.1666622,1638201965.1665943
1638201966.171003,1638201966.1709065
1638201964.849319,1638201952.6492593
1638201965.8611295,1638201953.661035
1638201966.8324041,1638201954.6323109
1638201967.834094,1638201955.6340277
1638201968.8361661,1638201956.6359985
1638201969.8387332,1638201957.6386635
1638201970.8406458,1638201958.6405907
1638201971.8426027,1638201959.6425402
1638201972.8443706,1638201960.6442866
1638201973.846351,1638201961.6462862
1638201974.8481705,1638201962.6480918
1638201975.8750226,1638201963.6749208
1638201976.944096,1638201964.7439756
1638201977.9468498,1638201965.7467918
1638201978.9504435,1638201966.7503479
1638201979.9513705,1638201967.7513092
1638201980.9536977,1638201968.7536345
1638201981.9554772,1638201969.7554152
1638201982.9570777,1638201970.7570174
1638201983.959304,1638201971.7592306
1638201984.9617121,1638201972.761636
1638201985.964855,1638201973.764744
1638201986.999461,1638201974.7992992
1638201988.001517,1638201975.8014421
1638201989.0034988,1638201976.8034365
1638201990.0116613,1638201977.8115876
1638201991.0145757,1638201978.814445
1638201992.0254486,1638201979.8253682
1638201993.0282934,1638201980.8282197
1638201994.0307775,1638201981.8306963
1638201995.062426,1638201982.8623164
1638201996.0795484,1638201983.8794925
1638201997.0831776,1638201984.8829615
1638201998.0851645,1638201985.8851097
1638201999.0871172,1638201986.8870566
1638202000.0887911,1638201987.88872
1638202001.0935462,1638201988.893453
1638202002.0953434,1638201989.8952804
1638202003.0972507,1638201990.8971872
1638202004.098228,1638201994.0481627
1638202005.100078,1638201995.0499802
1638202006.1021311,1638201996.052069
1638202007.1048687,1638201997.0546472
1638202008.1075299,1638201998.0574656
1638202009.1095955,1638201999.059523
1638202010.112261,1638202000.06218
1638202011.1140985,1638202001.0640256
1638202012.1173384,1638202002.0672715
1638202013.1188745,1638202003.0688055
1638202014.1225257,1638202004.0724416
1638202015.125342,1638202005.075279
1638202016.1272397,1638202006.0771775
1638202017.129075,1638202007.0790184
1638202018.1310375,1638202008.0809429
1638202019.134083,1638202009.083709
